LNT,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters May 7, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.             ** For  
ETR,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters May 7, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.             ** For  
EQT,Metro bids for EQT's Classic Fine Foods -sources FRANKFURT, May 7 German retail group Metro  has made a tentative bid for private equity-owned, Singapore-based Classic Fine Foods in a deal potentially worth $300-$400 million including debt, three sources familiar with the deal said. 
EQIX,BRIEF-Equinix confirms talks with Telecity GroupTelecity, Interxion deal in doubt as Equinix weighs inUPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal  UPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal LONDON, May 7 British data centre provider Telecity Group said it had decided to enter into takeover talks with Equinix almost three months after agreeing a non-binding $2.2 billion all-share deal to buy Interxion Holding NV.UPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal   Telecity, Interxion deal in doubt as Equinix weighs inUPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal  UPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal LONDON, May 7 British data centre provider Telecity Group said it had decided to enter into takeover talks with Equinix almost three months after agreeing a non-binding $2.2 billion all-share deal to buy Interxion Holding NV.UPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal  * Confirms that it is in preliminary discussions with board of telecitygroup regarding a possible cash and share offer for telecitygroup  Source text for Eikon:  Further company coverage:Telecity, Interxion deal in doubt as Equinix weighs inUPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal  UPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal LONDON, May 7 British data centre provider Telecity Group said it had decided to enter into takeover talks with Equinix almost three months after agreeing a non-binding $2.2 billion all-share deal to buy Interxion Holding NV.UPDATE 3-Equinix moves to gatecrash Telecity, Interxion deal * Interxion repeats commitment to "strategically compelling" deal   
XOM,Exxon says breakdown in unit caused flaring at Torrance refinery May 6 Exxon Mobil Corp said a breakdown related to an unspecified unit caused flaring at its 149,500-barrel-per-day refinery in Torrance, California, on Wednesday. 
GS,Shipping freight rates to stay low until at least 2020 - Goldman SachsBTG Pactual may be interested in HSBC's Brazil unit -reportUPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.   UPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  SAO PAULO, May 7 Grupo BTG Pactual SA, the largest independent investment bank in emerging markets, could be interested in acquiring the Brazilian unit of HSBC Holdings Plc, which has been put up for sale, Valor Econômico newspaper reported on Thursday.UPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.    BTG Pactual may be interested in HSBC's Brazil unit -reportUPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.   UPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  SAO PAULO, May 7 Grupo BTG Pactual SA, the largest independent investment bank in emerging markets, could be interested in acquiring the Brazilian unit of HSBC Holdings Plc, which has been put up for sale, Valor Econômico newspaper reported on Thursday.UPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.   * Big miners can profit from low freight costs, access new marketsBTG Pactual may be interested in HSBC's Brazil unit -reportUPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.   UPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  SAO PAULO, May 7 Grupo BTG Pactual SA, the largest independent investment bank in emerging markets, could be interested in acquiring the Brazilian unit of HSBC Holdings Plc, which has been put up for sale, Valor Econômico newspaper reported on Thursday.UPDATE 2-Goldman Sachs must face $120 mln suit over mortgage securities -courtGoldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.  Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis. May 7 New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.Goldman Sachs must face $120 million suit over mortgage securities: court New York's top state court on Thursday revived a bond insurer's $120 million lawsuit claiming Goldman Sachs Group Inc  lied about a pool of securities backed by subprime mortgages during the period leading up the financial crisis.    
IP,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters May 7, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.             ** For  
JNJ,CORRECTED-J&J; to consult ethicists on requests for experimental drugs NEW YORK, May 7 Johnson & Johnson will become the first pharmaceutical company to formally seek advice from outside medical ethicists on "compassionate use" requests, in which desperate patients ask drugmakers to let them take an experimental medication, the company announced on Thursday. 
KMI,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters May 7, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.             ** For  
LMT,Lockheed F-35 gets first female pilot - Air Force WASHINGTON, May 6 Lieutenant Colonel Christine Mau, a U.S. Air Force pilot who    was part of the first all-female combat sortie over Afghanistan in 2011, this week became the first woman to fly the Lockheed Martin Corp  F-35 jet, the Air Force said on Wednesday. 
MA,MasterCard doubles card numbers in Middle East, Africa DUBAI MasterCard Inc  has doubled the number of its cards to about 100 million in the Middle East and Africa in the past three years, where it has begun setting up partnerships with governments to provide access to its payments system. 
TAP,UPDATE 1-Molson Coors sales miss estimates on lower demand, strong dollar May 7 Molson Coors Brewing Co reported lower-than-expected quarterly net sales, hurt by lower demand for its beer and a strong dollar. 
