GOOGL,Daimler CEO mulls JVs with Apple, Google -magazine BERLIN, Aug 21 Daimler's chief executive said "different types" of cooperation with Apple  and Google are possible as carmakers realise next-generation autos cannot be built without greater input from telecoms and software experts. 
BHI,U.S. drillers add rigs for a fifth week in a row - Baker Hughes NEW YORK, Aug 21 U.S. energy firms added two oil rigs this week, the fifth week of increases in a row, after U.S. crude prices have fallen about a third from recent highs, data showed on Friday, a sign drillers remain undeterred by low prices. 
BA,PRESS DIGEST- Wall Street Journal - Aug 21Boeing on track to meet 737 MAX production targets - spokesmanUPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays.  UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays. Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a spokesman for the plane maker said on Friday following a report on industry concerns that slow output at key supplier GKN  could derail the timeline.UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays.   Boeing on track to meet 737 MAX production targets - spokesmanUPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays.  UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays. Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a spokesman for the plane maker said on Friday following a report on industry concerns that slow output at key supplier GKN  could derail the timeline.UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays.  Aug 21 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.Boeing on track to meet 737 MAX production targets - spokesmanUPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays.  UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays. Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a spokesman for the plane maker said on Friday following a report on industry concerns that slow output at key supplier GKN  could derail the timeline.UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays.   
COST,US lawsuit accuses Costco, Thai supplier of selling prawns produced by slaves NEW YORK/BANGKOK, Aug 21 (Thomson Reuters Foundation) - A U.S. lawsuit accusing retailer Costco Wholesale Corp. of knowingly selling frozen prawns linked to a company that uses slave labor was described on Friday as "entirely without merit" by Thai seafood supply company CP Food Products. 
DE,Deere profit falls 40 pct on weak demand for farm equipmentCORRECTED-UPDATE 3-Deere shares fall 8 pct following weak 3rd-qtr results Aug 21 Deere & Co reported that third-quarter profit tumbled 40 percent on weak demand for agricultural equipment and a stronger dollar, and gave a bleaker forecast for fourth-quarter equipment sales, sending shares sliding more than 8 percent.  CORRECTED-UPDATE 3-Deere shares fall 8 pct following weak 3rd-qtr results Aug 21 Deere & Co reported that third-quarter profit tumbled 40 percent on weak demand for agricultural equipment and a stronger dollar, and gave a bleaker forecast for fourth-quarter equipment sales, sending shares sliding more than 8 percent. Aug 21 Deere & Co, the maker of John Deere tractors, reported a 40 percent fall in quarterly profit, hurt by weak demand for its agriculture equipment.CORRECTED-UPDATE 3-Deere shares fall 8 pct following weak 3rd-qtr results Aug 21 Deere & Co reported that third-quarter profit tumbled 40 percent on weak demand for agricultural equipment and a stronger dollar, and gave a bleaker forecast for fourth-quarter equipment sales, sending shares sliding more than 8 percent.  
FDX,UPDATE 1-Fedex reaches tentative agreement with pilots Aug 20 FedEx pilots tentatively agreed with the package delivery company on an amended collective bargaining agreement, the Air Line Pilots Association (ALPA) said. 
F,Tesla engineer joins Apple's growing team of automated car experts DETROIT/SAN FRANCISCO, Aug 21 Consumer electronics company Apple Inc has hired a senior engineer from electric car maker Tesla Motors Inc, according to a LinkedIn posting, as part of Apple's effort to build a team of experts in automated driving. 
LMT,Lockheed welcomes US plan to use its combat system for frigates MARINETTE, Wisconsin, Aug 21 Lockheed Martin Corp on Friday welcomed the U.S. Navy's decision to use Lockheed's integrated combat system for future frigate-class ships to be built beginning in fiscal 2019, saying it would allow greater commonality across the entire Navy fleet. 
MCD,McDonald's grilled over labor, tax practices at Brazil hearingMcDonald's signs second franchising deal in RussiaMcDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.  McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions. MOSCOW, Aug 21 McDonald's Corp. said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.   McDonald's signs second franchising deal in RussiaMcDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.  McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions. MOSCOW, Aug 21 McDonald's Corp. said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.  BRASILIA McDonald's Corp , the world's biggest fast-food chain, was accused of mistreating its employees and dodging taxes on Thursday during a Senate hearing in Brazil, where politicians, union leaders and workers from five continents voiced allegations.McDonald's signs second franchising deal in RussiaMcDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.  McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions. MOSCOW, Aug 21 McDonald's Corp. said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions.   
MSFT,Microsoft confirms Finnish phone site closure and job cutsMicrosoft confirms Finnish phone site closure and job cuts HELSINKI Microsoft Corp  on Friday confirmed it will close Nokia Oyj's  former handset product development unit in Salo, Finland, and will cut a total of up to 2,300 jobs in the Nordic country.  Microsoft confirms Finnish phone site closure and job cuts HELSINKI Microsoft Corp  on Friday confirmed it will close Nokia Oyj's  former handset product development unit in Salo, Finland, and will cut a total of up to 2,300 jobs in the Nordic country. HELSINKI, Aug 21 Microsoft Corp on Friday confirmed it will close Nokia Oyj's former handset product development unit in Salo, Finland, and will cut a total of up to 2,300 jobs in the Nordic country.Microsoft confirms Finnish phone site closure and job cuts HELSINKI Microsoft Corp  on Friday confirmed it will close Nokia Oyj's  former handset product development unit in Salo, Finland, and will cut a total of up to 2,300 jobs in the Nordic country.  
PRGO,EU Commission clears Perrigo to buy GSK units BRUSSELS, Aug 21 The European Commission cleared on Friday U.S. drugmaker Perrigo's acquisition of certain assets from Britain's GSK. 
PXD,In downturn, frackers turn to toilet water in drought-prone TexasIn downturn, frackers turn to toilet water in drought-prone Texas HOUSTON Top shale oil producer Pioneer Natural Resources Co  has found an unusual way to both save water and cut costs for its wells: tapping the treated runoff from toilets, sinks and showers in west Texas.  In downturn, frackers turn to toilet water in drought-prone Texas HOUSTON Top shale oil producer Pioneer Natural Resources Co  has found an unusual way to both save water and cut costs for its wells: tapping the treated runoff from toilets, sinks and showers in west Texas. HOUSTON, Aug 21 Top shale oil producer Pioneer Natural Resources Co has found an unusual way to both save water and cut costs for its wells: tapping the treated runoff from toilets, sinks and showers in west Texas.In downturn, frackers turn to toilet water in drought-prone Texas HOUSTON Top shale oil producer Pioneer Natural Resources Co  has found an unusual way to both save water and cut costs for its wells: tapping the treated runoff from toilets, sinks and showers in west Texas.  
WFC,Wells Fargo plans to hire investment bankers Aug 21 Wells Fargo & Co is looking to make selective hires in investment banking while it has pared back in another group in its securities division. 
